timestamp,power_north,power_south,power_total
2015-01-23 06:00:00,0.00,0.00,0.00
2015-01-23 06:15:00,0.00,0.00,0.00
2015-01-23 06:30:00,0.00,0.00,0.00
2015-01-23 06:45:00,0.00,0.00,0.00
2015-01-23 07:00:00,0.00,0.00,0.00
2015-01-23 07:15:00,0.00,0.00,0.00
2015-01-23 07:30:00,0.00,0.00,0.00
2015-01-23 07:45:00,0.00,0.00,0.00
2015-01-23 12:00:00,0.00,0.00,0.00
2015-01-23 12:15:00,0.00,0.00,0.00
2015-01-23 12:30:00,0.00,0.00,0.00
2015-01-23 12:45:00,0.00,0.00,0.00
2015-01-23 13:00:00,0.00,0.00,0.00
2015-01-23 13:15:00,0.00,0.00,0.00
2015-01-23 13:30:00,0.00,0.00,0.00
2015-01-23 13:45:00,0.00,0.00,0.00
2015-01-23 14:00:00,0.00,0.00,0.00
2015-01-23 14:15:00,0.00,0.00,0.00
2015-01-23 14:30:00,0.00,0.00,0.00
2015-01-23 15:00:00,0.00,2.00,2.00
2015-01-23 15:15:00,6.00,9.00,15.00
2015-01-23 15:30:00,33.00,42.00,75.00
2015-01-23 15:45:00,61.00,73.00,134.00
2015-01-23 16:00:00,91.00,104.00,195.00
2015-01-23 16:15:00,121.00,135.00,256.00
2015-01-23 16:30:00,151.00,165.00,316.00
2015-01-23 16:45:00,178.00,192.00,370.00
2015-01-23 17:00:00,202.00,219.00,421.00
2015-01-23 17:15:00,226.00,242.00,468.00
2015-01-23 17:30:00,248.00,264.00,512.00
2015-01-23 17:45:00,267.00,284.00,551.00
2015-01-23 18:00:00,284.00,300.00,584.00
2015-01-23 18:15:00,299.00,317.00,616.00
2015-01-23 18:30:00,316.00,335.00,651.00
2015-01-23 18:45:00,341.00,346.00,687.00
2015-01-23 19:00:00,356.00,375.00,731.00
2015-01-23 19:15:00,367.00,393.00,760.00
2015-01-23 19:30:00,363.00,385.00,748.00
2015-01-23 19:45:00,360.00,380.00,740.00
2015-01-23 20:00:00,356.00,375.00,731.00
2015-01-23 20:15:00,353.00,372.00,725.00
2015-01-23 20:30:00,351.00,369.00,720.00
2015-01-23 20:45:00,346.00,365.00,711.00
2015-01-23 21:00:00,341.00,357.00,698.00
2015-01-23 21:15:00,333.00,348.00,681.00
2015-01-23 21:30:00,322.00,336.00,658.00
2015-01-23 21:45:00,312.00,323.00,635.00
2015-01-23 22:00:00,298.00,309.00,607.00
2015-01-23 22:15:00,284.00,292.00,576.00
2015-01-23 22:30:00,264.00,271.00,535.00
2015-01-23 22:45:00,241.00,248.00,489.00
2015-01-23 23:00:00,218.00,222.00,440.00
2015-01-23 23:15:00,192.00,194.00,386.00
2015-01-23 23:30:00,166.00,168.00,334.00
2015-01-23 23:45:00,139.00,138.00,277.00
2015-01-24 00:00:00,110.00,108.00,218.00
2015-01-24 00:15:00,80.00,77.00,157.00
2015-01-24 00:30:00,47.00,49.00,96.00
2015-01-24 00:45:00,22.00,24.00,46.00
2015-01-24 01:00:00,5.00,6.00,11.00
2015-01-24 01:45:00,0.00,0.00,0.00
2015-01-24 02:00:00,0.00,0.00,0.00
2015-01-24 02:15:00,0.00,0.00,0.00
2015-01-24 02:30:00,0.00,0.00,0.00
2015-01-24 02:45:00,0.00,0.00,0.00
2015-01-24 03:00:00,0.00,0.00,0.00
2015-01-24 03:15:00,0.00,0.00,0.00
2015-01-24 03:30:00,0.00,0.00,0.00
2015-01-24 03:45:00,0.00,0.00,0.00
2015-01-24 04:00:00,0.00,0.00,0.00
2015-01-24 04:15:00,0.00,0.00,0.00
2015-01-24 04:30:00,0.00,0.00,0.00
2015-01-24 04:45:00,0.00,0.00,0.00
2015-01-24 05:00:00,0.00,0.00,0.00
2015-01-24 05:15:00,0.00,0.00,0.00
2015-01-24 05:30:00,0.00,0.00,0.00
2015-01-24 05:45:00,0.00,0.00,0.00
