timestamp,power_north,power_south,power_total
2015-01-19 00:00:00,50.00,52.00,102.00
2015-01-19 00:15:00,38.00,38.00,76.00
2015-01-19 00:30:00,58.00,60.00,118.00
2015-01-19 00:45:00,10.00,11.00,21.00
2015-01-19 01:00:00,4.00,4.00,8.00
2015-01-19 01:30:00,0.00,0.00,0.00
2015-01-19 01:45:00,0.00,0.00,0.00
2015-01-19 02:00:00,0.00,0.00,0.00
2015-01-19 02:15:00,0.00,0.00,0.00
2015-01-19 02:30:00,0.00,0.00,0.00
2015-01-19 02:45:00,0.00,0.00,0.00
2015-01-19 03:00:00,0.00,0.00,0.00
2015-01-19 03:15:00,0.00,0.00,0.00
2015-01-19 03:30:00,0.00,0.00,0.00
2015-01-19 03:45:00,0.00,0.00,0.00
2015-01-19 04:00:00,0.00,0.00,0.00
2015-01-19 04:15:00,0.00,0.00,0.00
2015-01-19 04:30:00,0.00,0.00,0.00
2015-01-19 04:45:00,0.00,0.00,0.00
2015-01-19 05:00:00,0.00,0.00,0.00
2015-01-19 05:15:00,0.00,0.00,0.00
2015-01-19 05:30:00,0.00,0.00,0.00
2015-01-19 05:45:00,0.00,0.00,0.00
2015-01-19 06:00:00,0.00,0.00,0.00
2015-01-19 06:15:00,0.00,0.00,0.00
2015-01-19 06:30:00,0.00,0.00,0.00
2015-01-19 06:45:00,0.00,0.00,0.00
2015-01-19 07:00:00,0.00,0.00,0.00
2015-01-19 07:15:00,0.00,0.00,0.00
2015-01-19 07:30:00,0.00,0.00,0.00
2015-01-19 07:45:00,0.00,0.00,0.00
2015-01-19 12:00:00,0.00,0.00,0.00
2015-01-19 12:15:00,0.00,0.00,0.00
2015-01-19 12:30:00,0.00,0.00,0.00
2015-01-19 12:45:00,0.00,0.00,0.00
2015-01-19 13:00:00,0.00,0.00,0.00
2015-01-19 13:15:00,0.00,0.00,0.00
2015-01-19 13:30:00,0.00,0.00,0.00
2015-01-19 13:45:00,0.00,0.00,0.00
2015-01-19 14:00:00,0.00,0.00,0.00
2015-01-19 14:15:00,0.00,0.00,0.00
2015-01-19 14:30:00,0.00,0.00,0.00
2015-01-19 15:00:00,3.00,4.00,7.00
2015-01-19 15:15:00,13.00,20.00,33.00
2015-01-19 15:30:00,33.00,42.00,75.00
2015-01-19 15:45:00,61.00,73.00,134.00
2015-01-19 16:00:00,93.00,105.00,198.00
2015-01-19 16:15:00,133.00,146.00,279.00
2015-01-19 16:30:00,174.00,188.00,362.00
2015-01-19 16:45:00,106.00,114.00,220.00
2015-01-19 17:00:00,119.00,112.00,231.00
2015-01-19 17:15:00,212.00,232.00,444.00
2015-01-19 17:30:00,266.00,281.00,547.00
2015-01-19 17:45:00,48.00,48.00,96.00
2015-01-19 18:00:00,244.00,258.00,502.00
2015-01-19 18:15:00,284.00,300.00,584.00
2015-01-19 18:30:00,245.00,268.00,513.00
2015-01-19 18:45:00,315.00,338.00,653.00
2015-01-19 19:00:00,324.00,340.00,664.00
2015-01-19 19:15:00,331.00,348.00,679.00
2015-01-19 19:30:00,335.00,353.00,688.00
2015-01-19 19:45:00,363.00,380.00,743.00
2015-01-19 20:00:00,276.00,279.00,555.00
2015-01-19 20:15:00,329.00,342.00,671.00
2015-01-19 20:30:00,321.00,337.00,658.00
2015-01-19 20:45:00,335.00,349.00,684.00
2015-01-19 21:00:00,326.00,339.00,665.00
2015-01-19 21:15:00,319.00,332.00,651.00
2015-01-19 21:30:00,305.00,319.00,624.00
2015-01-19 21:45:00,293.00,304.00,597.00
2015-01-19 22:00:00,280.00,289.00,569.00
2015-01-19 22:15:00,263.00,274.00,537.00
2015-01-19 22:30:00,250.00,255.00,505.00
2015-01-19 22:45:00,228.00,234.00,462.00
2015-01-19 23:00:00,205.00,209.00,414.00
2015-01-19 23:15:00,175.00,182.00,357.00
2015-01-19 23:30:00,152.00,154.00,306.00
2015-01-19 23:45:00,125.00,123.00,248.00
2015-01-20 00:00:00,95.00,94.00,189.00
2015-01-20 00:15:00,66.00,65.00,131.00
2015-01-20 00:30:00,37.00,39.00,76.00
2015-01-20 00:45:00,16.00,18.00,34.00
2015-01-20 01:00:00,3.00,3.00,6.00
2015-01-20 01:30:00,0.00,0.00,0.00
2015-01-20 01:45:00,0.00,0.00,0.00
2015-01-20 02:00:00,0.00,0.00,0.00
2015-01-20 02:15:00,0.00,0.00,0.00
2015-01-20 02:30:00,0.00,0.00,0.00
2015-01-20 02:45:00,0.00,0.00,0.00
2015-01-20 03:00:00,0.00,0.00,0.00
2015-01-20 03:15:00,0.00,0.00,0.00
2015-01-20 03:30:00,0.00,0.00,0.00
2015-01-20 03:45:00,0.00,0.00,0.00
2015-01-20 04:00:00,0.00,0.00,0.00
2015-01-20 04:15:00,0.00,0.00,0.00
2015-01-20 04:30:00,0.00,0.00,0.00
2015-01-20 04:45:00,0.00,0.00,0.00
2015-01-20 05:00:00,0.00,0.00,0.00
2015-01-20 05:15:00,0.00,0.00,0.00
2015-01-20 05:30:00,0.00,0.00,0.00
2015-01-20 05:45:00,0.00,0.00,0.00
2015-01-20 06:00:00,0.00,0.00,0.00
2015-01-20 06:15:00,0.00,0.00,0.00
2015-01-20 06:30:00,0.00,0.00,0.00
2015-01-20 06:45:00,0.00,0.00,0.00
2015-01-20 07:00:00,0.00,0.00,0.00
2015-01-20 07:15:00,0.00,0.00,0.00
2015-01-20 07:30:00,0.00,0.00,0.00
2015-01-20 07:45:00,0.00,0.00,0.00
2015-01-20 12:00:00,0.00,0.00,0.00
2015-01-20 12:15:00,0.00,0.00,0.00
2015-01-20 12:30:00,0.00,0.00,0.00
2015-01-20 12:45:00,0.00,0.00,0.00
2015-01-20 13:00:00,0.00,0.00,0.00
2015-01-20 13:15:00,0.00,0.00,0.00
2015-01-20 13:30:00,0.00,0.00,0.00
2015-01-20 13:45:00,0.00,0.00,0.00
2015-01-20 14:00:00,0.00,0.00,0.00
2015-01-20 14:15:00,0.00,0.00,0.00
2015-01-20 14:30:00,0.00,0.00,0.00
2015-01-20 15:00:00,0.00,0.00,0.00
2015-01-20 15:15:00,3.00,3.00,6.00
2015-01-20 15:30:00,9.00,10.00,19.00
2015-01-20 15:45:00,19.00,17.00,36.00
2015-01-20 16:00:00,32.00,27.00,59.00
2015-01-20 16:15:00,33.00,34.00,67.00
2015-01-20 16:30:00,35.00,34.00,69.00
2015-01-20 16:45:00,44.00,49.00,93.00
2015-01-20 17:00:00,49.00,60.00,109.00
2015-01-20 17:15:00,66.00,69.00,135.00
2015-01-20 17:30:00,67.00,78.00,145.00
2015-01-20 17:45:00,66.00,70.00,136.00
2015-01-20 18:00:00,83.00,82.00,165.00
2015-01-20 18:15:00,89.00,82.00,171.00
